福菜滷百頁豆腐	百頁豆腐,福菜,五花肉,蒜	米酒,醬油,水,糖
五香滷汁	細砂糖,五香粉,滷汁,香油,八角,水,辣椒,大蒜,甘醇醬油
鮮蝦擔仔麵	韭菜,油麵,豆芽,蝦子	水,高湯,蔥
薏仁豬腳湯	雞骨高湯,薏仁,薑,山藥,豬腳,蓮子	香油,米酒,鹽
鮮香牛肉煲	蔥,薑,芹菜,辣椒,牛肉,香菇	太白粉,太白粉,高湯,蔥,香油,水,沙拉油,蛋白,醬油
香菇梗肉丸子	香菇,洋蔥,蒜,蛋液	太白粉,香油,蛋液,糖,胡椒,鹽,醬油
香椿煎豆腐	板豆腐,梅花肉,青蔥,辣椒,大蒜,三色豆	麻油,低筋麵粉,鹽,牛,黑胡椒
黃瓜拌魷魚	紅蘿蔔,蒜,魷魚,小黃瓜,辣椒	香油,油,細砂糖,鹽,白醋
蒜苗炒毛肚	蒜苗,熟毛肚,辣椒,大蒜	香油,鹽,胡椒
鰹魚露蒸鱸魚	鱸魚,薑,青蔥	香油,米酒,細砂糖,鰹魚,水
花雕雞	紅蔥頭,大蒜,青椒,鴻喜菇,二節翅,老薑,土雞,香菜,雞心,芹菜	酒,蠔油,雞粉,水,糖,鹽
桂圓米糕	米酒,圓糯米,水,花生油,桂圓	黑糖,二砂糖
竹筍雞肉飯	雞腿,白米,水,辣椒,大蒜,芹菜	香油,砂糖,醬油膏
滷豬腳	辣椒,可樂,八角,豬腳,薑,蒜仁,蔥	胡椒,鹽,水,醬油
薑絲炒川七	黑麻油,薑,川七	米酒,鹽,雞粉
蕃茄咕咾肉	大蒜,辣椒,後腿肉,大蕃茄,洋蔥	蕃茄醬,白砂糖,鹽,胡椒,白醋	蛋液,太白粉,鹽,胡椒
豬肉醬蒸飯	豬肉,白米,筊白筍,水,辣椒,大蒜	香油,鹽,砂糖,胡椒
酸辣湯	豆腐,筍,黑木耳,高湯,豬血,蛋液,太白粉,紅蘿蔔,豬肉,蔥	細砂糖,烏醋,胡椒,香油,雞粉,白醋,鹽,辣椒	米酒,太白粉,醬油
冰滷小棒腿	小棒腿,滷汁,胡椒,蠔油,米酒,八角,水,薑,冰糖,鹽,醬油
黃瓜鑲肉	太白粉,大黃瓜,鳳梨,蔥,蒜	醬油,太白粉,米酒,雞粉,糖,鹽,醬油
