紅燒鰻魚飯	辣椒,白米,青蔥,水,辣椒,鰻魚,大蒜	香油,鹽,胡椒,米酒
牛蒡甜不辣	牛蒡,魚,鹽,蛋白,鮮奶油
芝麻拌海帶芽	芝麻,薑,蒜,海帶芽	香油,糯米醋,鹽,蠔油,糖
麻醬菠菜卷	芝麻,柴魚,蒜,菠菜	水,芝麻,醬油膏,細砂糖
薏仁烤地瓜	蛋液,黑芝麻,薏仁,地瓜,白芝麻	奶油,細砂糖,鮮奶油
照燒雞腿	薑,蔥,雞腿	米酒,細砂糖,照燒醬,蒜,醬油
泡菜漢堡可樂餅	板豆腐,麵包粉,韓式泡菜,馬鈴薯,低筋麵粉,雞蛋,沙拉油,蔥	鹽,胡椒
柴魚汁	水,柴魚
香菇牛肉丼	白飯,胡蘿蔔,牛肉,香菇,洋蔥	柴魚,味霖,醬油,奶油,薑
香煎大根排	奶油,胡蘿蔔,花椰菜,白蘿蔔	蠔油,鹽
炸蝦飯糰	麵包粉,白飯,低筋麵粉,蛋液,海苔,胡椒,蝦子,美乃滋,鹽,山葵醬
芝麻拌醬汁	和風醬油,花椒,芝麻,米醋,油,糖,水
甜玉米可樂餅	蛋黃,巴西里,乳酪,玉米,洋蔥,低筋麵粉,馬鈴薯,培根,奶油,沙拉油	黑胡椒,鹽
什錦厚蛋燒	黑木耳,胡蘿蔔,筊白筍,鹽,甜豆,細砂糖,沙拉油,香菇,雞蛋,醬油
辣味茄醬	紅醬,甜辣醬,牛蕃茄
三色龍蝦球	龍蝦,西芹,蛋白
鹽烤鮭魚飯糰	海苔,白飯,鮭魚,鹽,小黃瓜
牛蒡薏仁順暢蔬果汁	水,芭樂,蜂蜜,牛蒡,薏仁,冰塊
烤壽司	蟹肉,壽司飯,美乃滋,魚,海苔
薑汁燒肉片	白芝麻,薑,梅花肉,洋蔥	薑,味霖,米酒,細砂糖,醬油
翡翠豆腐	葛粉,水,牛奶,鮮奶油,毛豆	鹽,糖
澆淋醬汁	味霖,醬油,柴魚高湯
親子燒雞排	紅椒,芝麻,雞蛋,洋蔥,青椒	柴魚,味霖,柴魚醬油,奶油
豬排醬	細砂糖,蕃茄醬,醬油,味霖,醬油膏,辣椒
鹽烤蛤蠣	蛤蜊	鹽
美白蕃茄鍋	秀珍菇,牛奶,薏仁,蕃茄,高湯,蓮子,蘆筍	雞粉,鹽
照燒雞腿丼	白飯,雞腿,秋葵	米酒,糖,醬油,味霖
什錦蔬菜味增湯	黑木耳,板豆腐,蒟蒻,紅蘿蔔,沙拉筍,海苔,香菇,牛蒡,金針,昆布,白芝麻,水	昆布,味霖,米酒,味噌
和風味噌烤飯糰	白飯,蝦卵,壽司醋,海苔	味霖,味噌
玉米牛肉丼	牛肉,白飯,雞蛋,洋蔥,玉米醬	柴魚,味霖,醬油,奶油
宇治金時冰淇淋	蜜紅豆,抹茶淋醬,水,冰淇淋,白玉
和風蔬菜咖哩鍋	肉桂,高麗菜,大蒜,蛤蠣,洋蔥,蕃茄,大茴粉,荳蔻粉,咖哩,蝦子,魚,南瓜,馬鈴薯,高湯,沙拉油,雞肉,蘋果
香酥起司飯糰車輪餅	香鬆,麵包粉,麵糊,低筋麵粉,蛋液,起士,米飯,鹽
胡麻醬	香菜,水,辣椒,鹽,胡椒,麻醬
素顏南瓜	葡萄,南瓜	綠芥茉
日式柴魚滷汁	薑,香菇,柴魚	味霖,米酒,醬油,水,糖
咖哩什錦炒烏龍麵	豬肉,蛤蠣,紅蘿蔔,花枝,香菇,蝦子,魚,烏龍麵,竹筍	椰奶,米酒,咖哩,雞粉,水,糖,胡椒
核桃香烤五花肉	核桃,酒,味醂,醬油	白芝麻,五花肉
芋香可樂餅	奶油,麵包粉,芋泥,低筋麵粉,雞蛋,椰奶,沙拉油	鹽
茄汁蛋包飯糰	洋蔥,太白粉,蕃茄醬,蛋,雞丁,水,胡椒,白飯,鹽,蒜
味噌烤香茄	生香菇,茄子	香油,砂糖,水,味噌
蕃茄沾醬	牛蕃茄,醋,糖
涼拌菠菜	黃蘿蔔,菠菜,吻仔魚	柴魚風味醬汁
白灼韭菜	綠韭菜,油膏韭菜醬,柴魚
苦瓜豆腐涼麵	七味粉,醬汁,細麵,綠色苦瓜,裙帶芽,嫩豆腐	薑,和風醬油,水
優格咖哩雞飯	椰奶,洋蔥,馬鈴薯,蒜,香米,水,紅蔥頭,原味優格,沙拉油,雞腿	鹽,細砂糖,咖哩
和風章魚燒比薩	厚片披薩皮,蘑菇,洋蔥,起士,白芝麻,美奶滋,柴魚,章魚	照燒醬
芝香鯛魚排三明治	鯛魚,白芝麻,土司,雞蛋,麵粉	美奶滋,鹽
蔬菜蝦仁	紅椒,蝦子,胡蘿蔔,黃椒
明太子飯糰	紫蘇,鱈魚卵,海苔,白飯
日式芥末子涼麵	海苔,聖女小蕃茄,蘿美生菜,涼麵,冰塊,蕎麥麵
日式豬排飯	麵包粉,低筋麵粉,蛋液,豬小里肌,胡椒,白飯,鹽,高麗菜
咖哩蔬菜湯	洋蔥,紅蘿蔔,紅椒,黃椒,香菇,四季豆,油豆腐,玉米筍,薑,蔬菜高湯,蒜,茄子	咖哩,咖哩,辣椒
抹茶鹽	鹽,抹茶粉
菠菜豆腐味噌鍋	豆腐,味噌,菠菜,蝦子,冬粉	雞粉,鹽
照燒烤雞腿	薑,杏鮑菇,大蒜,雞腿,洋蔥	細砂糖,米酒,水,味霖,醬油膏,鹽,胡椒
親子丼	雞肉,酒,水,味霖,醬油,洋蔥,味精
金平醬汁	米酒,醬油,水,糖
鮮嫩蛋	雞肉,蛋,魚,蛤蜊高湯,金針	香油,雞湯
醬炒牛蒡	牛蒡,白芝麻	茶
窩蛋牛肉丼	蛋黃,牛肉,白飯,青豆,洋蔥	柴魚,味霖,醬油,奶油
宇治金時剉冰	鮮奶,抹茶粉,蜜紅豆,水
和風雞腿	雞腿	蠔油,香油,蒜,糖,柴魚,醬油,胡椒
咖哩黃瓜優格醬	原味優格,小黃瓜,鮮奶油	咖哩,鹽,糖
牛蒡手捲	白芝麻,糖粉,低筋麵粉,牛蒡,美奶滋,海苔,蔬菜
冬瓜煮淋芝麻醬	醬油,水,芝麻,米酒,雞粉,黑芝麻,鹽
壽司薑DIY	嫩薑,砂糖,醋,鹽,水
揚出豆腐	海苔,太白粉,醬汁,板豆腐,柴魚素,味霖,薑,蘿蔔,醬油
味噌醬汁	味噌,白芝麻,醋,原味花生醬,美奶滋,和風柴魚醬油露,味霖,水
沖繩黑毛	老薑,青蔥,蒜仁,黑毛梅花豬肉,八角	黑糖,油,醬油,水,米酒,鹽
薑燜南瓜	蔥,薑,南瓜	雞粉,鹽,水,胡椒
芥末醬油	芥末,醬油
胡麻四季豆	四季豆,胡麻醬
味噌芝麻涼麵	鮭魚卵,蕎麥麵	鰹魚醬油,水,芝麻,糖,味噌
酥炸地瓜餅	太白粉,地瓜,麵衣
輕煮汁	醬油,細砂糖,米酒,雞粉,水,味霖
蜜汁鰹魚飯糰	白芝麻,柴魚,海苔,白飯	麥芽糖,米酒,水,糖,味霖,醬油
日式冷豆腐	海苔,嫩豆腐,醬汁,柴魚素,酒,柴魚,味霖,薑,蔥,醬油
味噌高湯	昆布,水,柴魚,味噌
照燒醬炒杏鮑菇	薑,青蔥,大蒜,杏鮑菇,辣椒	香油,照燒醬
蒲燒鰻魚炊飯	蘿蔔,鰻魚,水,白米	柴魚素,鰻魚醬汁
根莖蔬菜豆漿湯	紅地瓜,紫地瓜,芋頭,豆漿,黃地瓜,水,南瓜,馬鈴薯	昆布,鹽
一口炸豬排	麵包粉,麵粉,蛋液,高麗菜,柴魚,梅花瘦肉塊,海苔	胡椒,美乃滋,鹽
抹茶淋醬	水,細砂糖,水麥芽,抹茶粉
雞香冷湯麵	黑胡椒,雞腿,香菜,麵,油麵,鹽
蝦卵沙拉蛋	沙拉醬,蝦卵,雞蛋
酸甜牛蒡絲	牛蒡	鹽,味精,白醋,糖
天婦羅海鮮湯麵	細砂糖,青江菜,味噌,白蘿蔔,沾醬,水,甜不辣,醬油膏,拉麵,高湯	鹽
蛋包飯	白飯,雞蛋,蔬菜,洋蔥	蕃茄醬
銅鑼燒	小蘇打,細砂糖,低筋麵粉,蛋,水,蜂蜜,味霖
什錦味噌小火鍋	高麗菜,香菇,紅蘿蔔,蝦子,中卷,花椰菜	糖,味噌
蕎麥吻仔魚拌豆腐	蕎麥,嫩豆腐,紅辣椒,吻仔魚,蔥,蒜	細砂糖,米酒,胡椒,醬油,鹽,柴魚醬油
蔬菜蛋捲	紅蘿蔔,雞蛋,黑木耳,豆芽,青椒	黑胡椒,鹽,雞粉
南瓜可樂餅	麵包粉,洋蔥,沙拉油,南瓜,低筋麵粉,雞蛋,奶油,馬鈴薯	黑胡椒,鹽
日式炸蝦	蛋黃,低筋麵粉,玉米粉,麵包粉,水,草蝦	鰹魚醬油,味霖,蘿蔔,高湯
炸雞手捲	蔬菜,美奶滋,雞腿,地瓜,海苔	米酒,麻油,薑,糖,胡椒,鹽,醬油
海苔紫蘇飯糰	紫蘇梅,海苔,白飯,海苔
鮮蝦蘆筍手捲	蝦子,蔬菜,美奶滋,蘆筍,海苔
雙口味細卷	壽司飯,小黃瓜,白芝麻,海苔
油香蒜片	大陸蒜頭,胡椒,鹽
雜糧豆渣煎餅	高麗菜,太白粉,洋蔥,紅蘿蔔,蛋液,西芹,豆渣,水,低筋麵粉	雞粉,美乃滋,胡椒,鹽,柴魚,海苔
味噌烤魚	蔥,薑,圓鱈	米酒,糖,味噌
涼拌洋蔥	柴魚,洋蔥	香油,醬油,水,細砂糖,檸檬
豆腐茶碗蒸	豌豆,薑,太白粉,嫩豆腐	蛋,雞粉,水,柴魚素,鹽,醬油
高麗菜捲可樂餅	低筋麵粉,牛蒡,板豆腐,太白粉,麵包粉,馬鈴薯,香菇,高麗菜,雞蛋,胡蘿蔔,四季豆,沙拉油	鹽,胡椒
薑汁酸辣醬	細砂糖,烏醋,水,香油,中薑,醬油膏
紫蘇百花捲	拉長蝦,沾醬,海苔,檸檬,麵衣
香酥花枝天	抹茶鹽,七味粉,太白粉,花枝,海苔
汁淋雞蛋豆腐	小黃瓜,蠔油,雞蛋豆腐,米醋,魚,醬油
海苔五榖壽司	蟹腳,水,五榖米,雞蛋,紅蘿蔔,海苔,壽司米,小黃瓜	鹽,細砂糖,壽司醋,細砂糖
日式鬆餅	奶油,牛奶,蛋,低筋麵粉,玉米粉,細砂糖,蜂蜜,泡打粉
菇堡	生香菇,蒜,麵包,羅美生菜	鹽,橄欖油,胡椒,白酒
昆布飯糰	白芝麻,昆布,海苔,白飯,水	味霖,醬油,細砂糖,米酒
牛丼	牛,白飯,洋蔥	米酒,細砂糖,水,醬油
蕃茄蒟蒻豆腐	蒟蒻,蕃茄
和風鮭魚煮	薑,蘿蔓葉,鮭魚,小黃瓜,辣椒	米酒,雞粉,胡椒,糖,味霖,鹽,醬油
胡麻醬淋山藥	辣椒,山藥,秋葵	香油,蝦子,胡椒,鹽,胡麻醬
辣味味噌烤雞腿	雞腿,白芝麻,味噌,味噌,味霖,辣椒
洋蔥壽喜牛	白芝麻,柴魚,水,薑,蔥,牛肉,洋蔥	米酒,糖,醬油,味霖
柴香芥藍菜	芥藍菜,柴魚	細砂糖,橄欖油,高湯,醬油
南蠻雞堡	美生菜,低筋麵粉,青蔥,雞腿,黃椒,漢堡包,紅椒,洋蔥	細砂糖,水,味霖,柴魚素,白醋,醬油
香煎日式飯糰	白飯,海苔,蔬菜	茶
厚蛋三明治	土司,牛奶,美乃滋,培根,小黃瓜,海苔,胡椒,沙拉油,鹽,雞蛋
日式炸豬排	豬里肌排,雞蛋,麵包粉,低筋麵粉	細砂糖,鹽,胡椒,水
昆布香菇高湯	梅子,昆布,香菇,水
炸菜天婦羅	醬油,低筋麵粉,地瓜,地瓜,紅椒,玉米粉,四季豆,白蘿蔔,黃椒,味霖,南瓜,鹽,茄子,水
田園蔬菜綠藻麵	聖女小蕃茄,秀珍菇,南瓜,紅椒,綠藻麵,青花菜,白花菜,黃椒,蒜,橄欖油,蘑菇	鹽,高湯
味噌醬	米酒,水,味噌醬,糖,胡椒,醬油
馬鈴薯燉肉	水,蒟蒻,洋蔥,牛肉,柴魚素,青豆,酒,糖,味霖,馬鈴薯,醬油
日式麻醬	麻醬,水,細砂糖,香菇風味醬油
苦瓜拌白醬	鹹蛋,苦瓜	白醬
蒟蒻稻禾包	稻禾豆皮,海苔,蒟蒻,小黃瓜	醬油,芥末
鳳梨香蝦球	鳳梨,太白粉,拉長蝦,核桃,沙拉醬,麵衣
海鮮胡麻豆腐	太白粉,鯛魚,白果,蝦子,醬汁,柴魚素,干貝,味霖,鹽,胡麻豆腐,醬油
烤麻糬	麥芽糖,黑糖,地瓜,白砂糖,水,麻糬,醬油
牛蒡酥炸條	海苔,牛蒡,太白粉,麵衣
章魚燒煎餅	高麗菜,太白粉,低筋麵粉,洋蔥,水,柴魚,章魚,紅蘿蔔,雞蛋	芥末,美乃滋,鹽
牛肉壽喜蓋飯	大白菜,白芝麻,紅蘿蔔,牛肉,金針,杏鮑菇,白飯	米酒,柴魚醬油,水,味霖
蕃茄佐油醋	豆腐,紅蕃茄,香菜	蕃茄
黃金魚排	鱈斑魚,麵包粉,蛋液,美奶滋,麵粉,高麗菜	蔥,米酒,鹽,薑
炸脆皮飯捲	鮪魚,白飯,洋蔥,海苔	沙拉醬,水
白醬時蔬	胡蘿蔔,蒟蒻,香菇,金針,菠菜	麻油,白醬,鹽
焦糖蘋果可樂餅	鳳梨,低筋麵粉,細砂糖,麵包粉,南瓜,雞蛋,奶油,沙拉油,蘋果
日式蔬菜煮	蒟蒻,紅蘿蔔,珊瑚菇,竹筍,香菇,牛蒡,四季豆,蓮藕	味霖,細砂糖,柴魚高湯,醬油
芹菜天婦羅	蛋,低筋麵粉,薑,水,味霖,芹菜,水,白蘿蔔,醬油	胡椒鹽
彩椒牛肉丼	黃甜椒,白飯,牛肉,洋蔥,紅甜椒	柴魚,味霖,醬油,奶油,黑胡椒
沙朗蔬菜天	太白粉,洋蔥,金針,麵衣,海苔
天婦羅蓋飯	山芹菜,太白粉,洋蔥,香菇,醬汁,蝦子,白飯,麵衣
和風芋香炊飯	白米,毛豆,芋頭,牛蒡,橄欖油,水,蒟蒻	米酒,醬油,鹽,味霖
炸蝦天婦羅	水芹菜,太白粉,洋蔥,香菇,蝦子,沾醬,麵衣
柴魚高湯	水,柴魚
檸檬雞柳手捲	蔬菜,地瓜,蛋液,美奶滋,海苔,雞柳,低筋麵粉	檸檬,糖,胡椒,鹽,蒜,魚露
預拌粉抹茶麻糬 	抹茶粉,水麥芽,水,水
宇治金時蜜糖土司	香草冰淇淋,煉乳,糖粉,砂糖,土司,杏仁,奶油,冰淇淋,紅豆,糖,麻糬,巧克力
稻荷壽司	壽司飯,豆皮,芝麻
豆皮壽司	白飯,壽司豆皮,黑芝麻	鹽
蔥香鮪魚可樂餅	麵包粉,豆腐,洋蔥,沙拉油,低筋麵粉,青蔥,雞蛋,馬鈴薯,鮪魚	黑胡椒,鹽
厚蛋燒肉捲	太白粉,鹽,厚蛋燒,豬五花肉,味霖,綠辣椒,胡椒,米酒,沙拉油,醬油
日式燒肉飯糰	白芝麻,蔥,海苔,白飯	米酒,糖,醬油,味霖
海鮮蔬菜高湯	魚骨,洋蔥,西芹,紅蘿蔔,水,月桂葉,黑胡椒
鰻魚厚蛋燒	醬油,太白粉,白芝麻,鹽,黃蘿蔔,三椒粉,味霖,海苔,鰻魚,沙拉油,雞蛋
日式和風拌魚皮	魚皮,檸檬,黃豆芽,香菜,辣椒,大蒜	醬油,香油,胡椒,糖,鹽,水
紅豆土司餅	雞蛋,蜜紅豆,土司
番茄涼麵	麵,小豆苗,番茄
經典牛丼醬汁	味霖,水,柴魚,醬油
芋酥甜柿球	柿子,麵衣,芋頭
海鮮飯可樂餅	低筋麵粉,麵包粉,白酒,馬鈴薯,洋蔥,蝦子,透抽,雞蛋,蘑菇,白醬,奶油,白飯,沙拉油	薑,鹽,胡椒
柴魚蘿蔔煮	柴魚,白蘿蔔	味霖,柴魚高湯,醬油
芥末炸魚片飯	辣椒,大蒜,蔥,鯛魚	七味粉,鹽,美乃滋,胡椒,芥末
酥炸里肌飯糰	白飯,里肌肉,低筋麵粉,蛋液,海苔,胡椒,麵包粉,鹽
醋拌小黃瓜	紅椒,薑,小黃瓜,黃椒,海帶芽	醋
照燒烤雞腿	雞腿,白芝麻	照燒醬,味醂
燒肉生菜沙拉	苜蓿芽,小蕃茄,蘿美生菜	酒,醬油,糖
和風蘆筍	和風醬,蘆筍
小黃瓜漬物	米酒,小黃瓜,味醂,糖,味噌
乾燒魚下巴	薑,蔥,紅辣椒,鯛魚	米酒,糖,水,醬油
甘醋泡菜	白蘿蔔,鹽,小黃瓜,鳳梨,紅蘿蔔	醋
粿加焦麻糬	奶油,細砂糖,黑芝麻,片栗粉
日式炸豆腐	玉米粉,柴魚,芙蓉豆腐,雞蛋	鰹魚醬油,味醂,高湯
經典厚蛋燒	醬油,沙拉油,白蘿蔔,味霖,胡椒,鹽,雞蛋,醬油
胡蘿蔔優格醬	原味優格,小胡蘿蔔,奶油乳酪抹醬	鹽,糖
鮮蔬手捲	蔬菜,美奶滋,海苔
馬鈴薯滷牛腩	紅蘿蔔,薑,辣椒,牛腩,大蒜,馬鈴薯	丁香,八角,細砂糖,鰹魚,水
萵苣牛蒡汁	蜂蜜,牛蒡,鳳梨,萵苣,水
薑汁燒肉	薑,薑,高麗菜,紅蘿蔔,豬小里肌	細砂糖,米酒,味霖,鹽,胡椒,醬油
醬燒海鱺魚飯糰	薑,白飯,海苔,低筋麵粉,魚,胡椒,鹽	味霖,味噌,水麥芽,醬油,米酒
味噌醬沾冷麵	味噌醬,蔥,七味粉,烏龍麵
玉米蛋捲	香菇,蔥,玉米,胡蘿蔔,雞蛋,玉米醬	雞
薑汁牛肉丼	海苔,洋蔥,牛肉,薑,蘿蔔,白飯	柴魚,味霖,醬油,奶油
揚出厚蛋燒	七味粉,白蘿蔔,秋葵,鹽,低筋麵粉,胡椒,味霖,沙拉油,雞蛋,醬油
照燒豬肉潛艇堡	蔥,豬肉,蕃茄,潛艇堡麵包,洋蔥	照燒醬,水,糖
和風煎餃	蔥,沙拉油,水餃,柴魚,水	醬油膏
糙米蔬菜卷	糙米飯,小豆苗,高麗菜,紅蘿蔔,蘋果,蕎麥,苜蓿芽	美乃滋
鍋燒雞絲麵	雞絲麵,龍蝦,雞蛋,黑輪條,花椰菜,水,貢丸
豬排三明治	蕃茄,西生菜,美奶滋,土司,豬排
咖哩鮮菇飯糰	薑,白飯,秀珍菇,咖哩,海苔,胡椒,鹽	醋,醬油,糖
沙拉醬汁	醬油,醋,香油,雞粉,糖,芥末
白玉冰淇淋	冰淇淋,蜜紅豆,玉米粉,糯米粉,水
開胃翡翠豆腐	毛豆,醬汁,柴魚素,枸杞,翡翠豆腐,味霖,醬油
香煎雞腿米堡	雞腿,奶油,美生菜,白飯,秋葵	砂糖
玉米可樂餅	洋芋,玉米,麵包粉,蔥	雞
泡菜厚蛋燒	七味粉,豬五花肉,麻油,韓式泡菜,胡椒,味霖,韭菜,泡菜,鹽,雞蛋,醬油
蔬菜可樂餅	高麗菜,胡蘿蔔,麵包粉,毛豆,沙拉油,板豆腐,洋蔥,低筋麵粉,雞蛋,玉米,馬鈴薯	鹽,胡椒
豆腐西米露	水蜜桃,翡翠豆腐,椰汁西米露,火龍果,西瓜
雞肉可樂餅	麵包粉,玉米,雞胸,麵粉,蛋液,洋蔥,馬鈴薯	胡椒,鹽,糖
高麗菜味噌豆腐湯	豆腐,高麗菜,高湯,海帶芽,味噌	米酒,糖,柴魚
玉米稻禾	壽司豆皮,玉米,蒟蒻,小黃瓜
滑蛋牛肉丼	白飯,雞蛋,牛肉,洋蔥	柴魚,味霖,醬油,奶油
山蘇條天婦羅	牛蕃茄,七味粉,山蘇,麵衣,沾醬
海苔花壽司	豆棗,花生粉,雞蛋,小黃瓜,海苔,白飯	米酒,鹽,沙拉醬
田園烤雞腿	雞腿,米酒,薑,青蔥,味霖,醬油
烤丸子	白芝麻,洋蔥,豬肉丸子,青椒,蔥	照燒醬
鮮筍佐芥末	小蕃茄,筍,蘆筍	芥末
乳酪可樂餅	蛋黃,馬鈴薯,起司,洋蔥,低筋麵粉,雞蛋,沙拉油,麵包粉	鹽,胡椒
日式芝麻涼麵	芝麻,紅蘿蔔,小黃瓜,細麵	鰹魚醬油,水果,水,鹽,糖
咖哩肉醬麵	豬,洋蔥,紅蘿蔔,馬鈴薯,麵,聖女蕃茄,水,青花菜,沙拉油,蒜	咖哩,細砂糖,鹽
日式茶碗蒸	雞肉,蛋,魚,高湯,蝦子
咖喱可樂餅	沙拉油,馬鈴薯,豬排醬,洋蔥	細砂糖,鹽,胡椒
咖哩豬排手捲	麵包粉,蔬菜,蛋液,美奶滋,里肌,海苔,低筋麵粉	原味優格,胡椒,咖哩,鹽
麻醬牛肉丼	白飯,胡蘿蔔,牛肉,芹菜,洋蔥	味霖,麻油,芝麻,高湯,醬油
蜜桃奶油車輪餅	水蜜桃,細砂糖,麵糊,牛奶,玉米粉,奶油,香草精,蛋
日式大阪燒	山藥,蝦子,花枝,高麗菜,柴魚,培根,中筋麵粉,海苔,洋蔥,水	鹽,美乃滋,豬排醬
蕃茄起司鮪魚土司捲	洋蔥,土司,蕃茄,起士,美奶滋,鮪魚
細麵車蝦	車蝦,太白粉,麵,麵衣
蘆筍干貝燒	辣椒,大蒜,蘆筍	干貝,水,黑胡椒
酥炸蔬菜	雞蛋,高麗菜,中筋麵粉,蕃茄醬,紅蘿蔔,地瓜,四季豆,南瓜,鹽
起司漢堡排飯	巴西利,洋蔥,牛,紅蘿蔔,荸薺,起士,大蒜	百里香,鹽,太白粉,蛋白,黑胡椒
海苔千島醬	蕃茄醬,海苔,美乃滋
海帶黃豆芽湯	白芝麻,麻油,裙帶菜,黃豆芽,水,蒜,紅辣椒	鹽
蛋浮豆腐	蛋,雞蛋豆腐,醬汁,柴魚素,酒,吻仔魚,糖,鹽,醬油
日式薑味小卷	薑,辣椒,小卷,青蔥	米酒,醬油,味醂,糖
照燒醬	薑,青蔥,大蒜,洋蔥	細砂糖,米酒,味醂,水,黑胡椒,鹽,醬油
芝麻豆皮飯糰	白飯,黑芝麻,豆皮
雞香冷麵淋醬	黑胡椒,糖,檸檬,香油,美奶滋,薑,鹽,水
海苔醬豬肉片	紅椒,白芝麻,貝芽菜,豬里肌肉,蔥	海苔
烤茄子	優格醬,沙拉油,茄子
日式沙拉雞排	雞胸,麵包粉,蛋液,炸油,高麗菜,玉米粉	豬排醬	細砂糖,米酒,蒜,蛋液,太白粉,水,鹽
照燒雞塊飯	洋蔥,雞腿,薑,青蔥,玉米筍,白飯	米酒,水,糖,醬油膏,鹽,胡椒
培根雞絲茶碗蒸	培根,紅蘿蔔,水,雞蛋,雞胸	雞粉,鹽
涮涮肉片冷麵	高麗菜,豬,烏龍麵,小黃瓜	蘋果,水,和風醬油,檸檬,白芝麻
可樂餅三明治	大亨堡麵包,可樂餅,蕃茄,小黃瓜,塔塔醬,奶油
照燒烤雞腿	薑,杏鮑菇,大蒜,雞腿,洋蔥	米酒,水,糖,味霖,醬油膏,鹽,胡椒
咖哩雞肉醬麵	咖哩雞肉醬,烏龍麵
香煎馬鈴薯餅	白芝麻,鹽,麻油,橙醋汁,雞粉,水,韓式辣椒醬,低筋麵粉,馬鈴薯,雞蛋
蛤蜊味噌鍋	蒟蒻,蛤蠣,紅蘿蔔,海帶芽,薑,味噌,蔥	雞粉,鹽,醬油
繽紛飯糰	豌豆,柴魚醬油,蘋果,地瓜,海苔,水,白米,蕃茄,鹽
日式喬麥涼麵	海苔,七味粉,醬汁,柴魚素,喬麥麵,味霖,蔥,山葵醬,醬油
炸牛蒡絲	牛蒡	糖粉,鹽,水
薑汁燒肉	醬油,薑,酒,糖,味霖
地瓜天婦羅	地瓜,黃肉地瓜,低筋麵粉,柴魚風味醬汁,水,薑,蛋黃,蘿蔔,紅地瓜
豆腐味噌湯	蔥,板豆腐,油豆腐,水,海帶芽	味霖,味噌,味噌,柴魚素
鮭魚卵手捲	蔬菜,鮭魚卵,美奶滋,海苔
味噌湯	蔥,蟹腳,嫩豆腐,香菇,水	味噌
炸蝦手捲	麵包粉,蔬菜,海苔,蛋液,美奶滋,蝦子,胡椒,鹽,低筋麵粉
芥末子涼麵醬	白芝麻,鰹魚醬油,細砂糖,柴魚高湯,沙拉醬
日式洋蔥燒肉蓋飯	白飯,洋蔥,白芝麻,豬肉	味霖,酒,醬油
